DG,PAA LVL2,PAA LVL3,TYPE,Titre/Title,Organisation,Chercheur principal/Principal Investigator,QUESTION, Réponse/Answer,Nb, Texte/Text, Thème/Theme,FY
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Development and testing of MICRO life detection platforms for planetary exploration in polar anlogue sites,McGill University,"Whyte, Lyle",Nombre d'expos‚s aux MDIAS/ PUBLIC GNRAL,,15,"As part of the release of the Goordial et al. article in Frontiers in Microbiology, Goodial, Whyte, and new PDF I. Raymond-Bouchard gave numerous radio interviews across Canada with the CBC and Radio-Canada on the publication and the project. Whyte will be giving a live TV interview with CTV on Jan. 31st, 2018.",Science plan‚taire,2017/2018
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Development and testing of MICRO life detection platforms for planetary exploration in polar anlogue sites,McGill University,"Whyte, Lyle",Autres,,5,"The Whyte lab and collaborators have given several interviews for print media including the CBC news site, the McGill Tribune and IFLScience. These were recirculated to numerous online media sites.

Ellery was invited to give a presentation at JPL in Dec 2017 including coveraghe of MicroLife which led to an exploration of potential collaboration between Dr Aaron Curtis at JPL on ice anchoring drills",Science plan‚taire,2017/2018
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Energetic Particle Explorer (EPEx) (A22),University of Calgary,"Cully, Christopher",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,Science Soleil-Terre,2017/2018
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Energetic Particle Explorer (EPEx) (A22),University of Calgary,"Cully, Christopher",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,2,"VLF and X-ray Instruments for Stratospheric Balloons: ABOVE2 and EPEx/Cully/American Geophysical Union Fall Meeting/Dec 2017

Energetic Particle Precipitation Measurements from High Altitude Balloons/Patrick/American Geophysical Union Fall Meeting/Dec 2017",Science Soleil-Terre,2017/2018
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Energetic Particle Explorer (EPEx) (A22),University of Calgary,"Cully, Christopher",Nombre d'expos‚s aux MDIAS/ PUBLIC GNRAL,,0,,Science Soleil-Terre,2017/2018
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Energetic Particle Explorer (EPEx) (A22),University of Calgary,"Cully, Christopher",Autres,,0,,Science Soleil-Terre,2017/2018
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Using simulated microgravity to understand bone loss & develop countermeasures in space (B03),University of Toronto,"Harrison, Rene",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,Science de la vie,2017/2018
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Using simulated microgravity to understand bone loss & develop countermeasures in space (B03),University of Toronto,"Harrison, Rene",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,3,"The Cell Biology of Bone Cells. Harrison R.E. Collaborative Program in Musculoskeletal Sciences (CPMS) Seminars. Jan. 23, 2018.

3D droplet scaffolding for osteocyte mechanical unloading in a rotating wall vessel. Fournier R. International Astronautical Congress, September 25-29 2017, Adelaide, SA, Australia
*selected abstract for presentation
**funded by 2017 Canadian Space Agency IAC student participation initiative

3D droplet scaffolding for osteocyte mechanical unloading in a rotating wall vessel. Fournier R. Canadian Connective Tissue Society Annual Conference, May 18-20 2017, Montreal, QC",Science de la vie,2017/2018
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Using simulated microgravity to understand bone loss & develop countermeasures in space (B03),University of Toronto,"Harrison, Rene",Autres,,2,This work was discussed in both my 2nd and 4 year undergraduate cell biology courses that I teach.,Science de la vie,2017/2018
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Reduced gravity flights to examine ExoMars rover wheel-soil interactions (B07),Concordia University,"Skonieczny, Krzysztof",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,D‚veloppement technologique visant … l'exploration spatiale,2017/2018
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Reduced gravity flights to examine ExoMars rover wheel-soil interactions (B07),Concordia University,"Skonieczny, Krzysztof",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,2,"Considerations for choosing experimentation campaigns for planetary rovers/Skonieczny K/Canadian Aeronautics and Space Institute (CASI) Astronautics Conference (ASTRO)/2018-05

Reduced Gravity Excavation Cutting Forces Considering Soil Accumulation/Skonieczny K/ASCE Earth & Space International Conference/2018-04",D‚veloppement technologique visant … l'exploration spatiale,2017/2018
SST,1.3.1 - SPACE EXPERTISE AND PROFICIENCY,1.3.1.1 - SPACE EXPERTISE AND PROFICIENCY,S&C,Reduced gravity flights to examine ExoMars rover wheel-soil interactions (B07),Concordia University,"Skonieczny, Krzysztof",Nombre d'expos‚s aux MDIAS/ PUBLIC GNRAL,,4,"Segment on Daily Planet/Skonieczny K, Gowanlock D/Discovery Channel/2018-03

Segment on CBC News (TV, Internet, Radio)/Skonieczny K/CBC/2018-04

Segment on Global National/Skonieczny K, Niksirat P*/Global/2018-04

Planetary rovers: Driving where g isn?t 10 m/s^2/Skonieczny, K/Montreal Space Symposium/2017-10",D‚veloppement technologique visant … l'exploration spatiale,2017/2018
